Time,RSSI,humidity,Average ,Sensor
10:00,-100,DRY,average= -97.25,1010
10:30,-98,DRY,,1001
11:00,-99,DRY,,1005
11:30,-98,DRY,,1020
12:00,-102,DRY,,1018
12:30,-98,DRY,,980
13:00,-99,DRY,,1009
13:30,-98,DRY,,1023
14:00,-102,DRY,,1021
14:30,-100,DRY,,1011
15:00,-98,DRY,,1015
15:30,-99,DRY,,1015
16:00,-93,DRY,,1009
16:30,-97,DRY,,998
17:00,-102,DRY,,1023
17:30,-99,DRY,,1020
18:00,-96,DRY,,1017
18:30,-100,DRY,,1019
19:00,-101,DRY,,820
19:30,-83,DRY,,1008
20:00,-96,DRY,,990
20:30,-99,DRY,,1023
21:00,-100,DRY,,1020
21:30,-98,DRY,,1007
22:00,-101,DRY,,1021
22:30,-94,DRY,,1019
23:00,-81,DRY,,1001
23:30,-93,DRY,,1021
0:00,-99,DRY,,1005
0:30,-98,DRY,,1018
1:00,-101,DRY,,1023
1:30,-97,DRY,,1021
2:00,-89,DRY,,1021
2:30,-97,DRY,,1007
3:00,-102,DRY,,1020
3:30,-98,DRY,,1017
4:00,-100,DRY,,984
4:30,-98,DRY,,1020
5:00,-101,DRY,,1018
5:30,-92,DRY,,1011
6:00,-101,DRY,,1003
6:30,-86,DRY,,1000
7:00,-97,DRY,,1016
7:30,-100,DRY,,1022
8:00,-97,DRY,,1017
8:30,-100,DRY,,1015
9:00,-94,DRY,,1023
9:30,-99,wet,average=-101,800
10:00,-105,wet,,657
10:30,-105,wet,,634
11:00,-104,wet,,680
11:30,-89,wet,,654
12:00,-103,wet,,689
12:30,-105,wet,,700
13:00,-105,wet,,647
13:30,-95,wet,,710
14:00,-99,wet,,705
14:30,-103,wet,,689
15:00,-104,wet,,760
15:30,-101,wet,,710
16:00,-102,wet,,643
16:30,-102,wet,,760
17:00,-92,wet,,775
17:30,-100,wet,,778
18:00,-103,wet,,770
18:30,-103,wet,,890
19:00,-92,DRY,average=-97.067,920
19:30,-101,DRY,,980
20:00,-103,DRY,,1010
20:30,-100,DRY,,1017
21:00,-97,DRY,,1003
21:30,-99,DRY,,1022
22:00,-101,DRY,,1019
22:30,-101,DRY,,996
23:00,-93,DRY,,1023
23:30,-101,DRY,,1001
0:00,-94,DRY,,1021
0:30,-92,DRY,,1018
1:00,-101,DRY,,1023
1:30,-87,DRY,,1002
2:00,-99,DRY,,1005
2:30,-101,DRY,,1011
3:00,-95,DRY,,1015
3:30,-101,DRY,,1023
4:00,-89,DRY,,1003
4:30,-91,DRY,,992
5:00,-102,DRY,,1023
5:30,-89,DRY,,1020
6:00,-89,DRY,,1005
6:30,-100,DRY,,1009
7:00,-101,DRY,,1017
7:30,-87,DRY,,1020
8:00,-102,DRY,,1019
8:30,-98,DRY,,1015
9:00,-97,DRY,,1023
9:30,-101,DRY,,1008
10:00,-101,DRY,,1015
10:30,-101,DRY,,1013
11:00,-109,wet,Average =-101.88,623
11:30,-105,wet,,658
12:00,-88,wet,,633
12:30,-95,wet,,678
13:00,-102,wet,,638
13:30,-94,wet,,650
14:00,-109,wet,,620
14:30,-106,wet,,670
15:00,-96,wet,,674
15:30,-107,wet,,633
16:00,-102,wet,,620
16:30,-102,wet,,689
17:00,-105,wet,,698
17:30,-102,wet,,688
18:00,-106,wet,,684
18:30,-100,wet,,670
19:00,-98,wet,,679
19:30,-103,wet,,657
20:00,-105,wet,,647
20:30,-106,wet,,650
21:00,-99,wet,,641
21:30,-106,wet,,684
22:00,-97,wet,,647
22:30,-105,wet,,656
23:00,-105,wet,,691
23:30,-95,wet,,624
0:00,-105,wet,,624
0:30,-104,wet,,644
1:00,-96,wet,,630
1:30,-104,wet,,675
2:00,-105,wet,,667
2:30,-102,wet,,675
3:00,-102,wet,,644
3:30,-104,wet,,668
4:00,-105,wet,,651
4:30,-105,wet,,680
5:00,-90,wet,,664
5:30,-105,wet,,646
6:00,-107,wet,,647
6:30,-96,wet,,686
7:00,-101,wet,,656
7:30,-105,wet,,665
8:00,-106,wet,,642
8:30,-101,wet,,638
9:00,-105,wet,,632
9:30,-87,wet,,627
10:00,-95,wet,,790
10:30,-89,wet,,629
11:00,-105,wet,,682
11:30,-108,wet,,665
12:00,-96,wet,,687
12:30,-108,wet,,636
13:00,-96,wet,,675
13:30,-103,wet,,640
14:00,-93,wet,,648
14:30,-104,wet,,780
15:00,-91,wet,,649
15:30,-103,wet,,641
16:00,-105,wet,,631
16:30,-103,wet,,662
17:00,-105,wet,,644
17:30,-105,wet,,659
18:00,-101,wet,,688
18:30,-105,wet,,663
19:00,-101,wet,,635
19:30,-96,wet,,661
20:00,-107,wet,,625
20:30,-105,wet,,686
21:00,-108,wet,,674
21:30,-91,wet,,692
22:00,-107,wet,,693
22:30,-105,wet,,630
23:00,-107,wet,,700
23:30,-107,wet,,657
0:00,-103,wet,,637
0:30,-101,wet,,684
1:00,-99,wet,,649
1:30,-104,wet,,674
2:00,-101,wet,,627
2:30,-98,wet,,667
3:00,-105,wet,,667
3:30,-96,wet,,685
4:00,-96,wet,,674
4:30,-101,wet,,680
5:00,-103,wet,,683
5:30,-106,wet,,683
6:00,-93,wet,,683
6:30,-100,wet,,685
7:00,-96,wet,,685
7:30,-106,wet,,687
8:00,-99,wet,,690
8:30,-106,wet,,694
9:00,-102,wet,,696
9:30,-106,wet,,698
10:00,-108,wet,,700
10:30,-105,wet,,700
11:00,-99,wet,,700
11:30,-104,wet,,702
12:00,-102,wet,,703
12:30,-104,wet,,708
13:00,-108,wet,,709
13:30,-106,wet,,711
14:00,-93,wet,,712
14:30,-105,wet,,715
15:00,-99,wet,,717
15:30,-102,wet,,717
16:00,-96,wet,,730
16:30,-104,wet,,732
17:00,-105,wet,,732
17:30,-105,wet,,733
18:00,-91,wet,,735
18:30,-105,wet,,736
19:00,-108,wet,,737
19:30,-107,wet,,740
20:00,-107,wet,,742
20:30,-107,wet,,744
21:00,-107,wet,,744
21:30,-104,wet,,745
22:00,-108,wet,,745
22:30,-99,wet,,746
23:00,-107,wet,,806
23:30,-106,wet,,751
0:00,-105,wet,,790
0:30,-103,wet,,756
1:00,-107,wet,,757
1:30,-87,wet,,758
2:00,-97,wet,,798
2:30,-106,wet,,850
3:00,-89,wet,,820
3:30,-93,wet,,776
4:00,-106,wet,,790
4:30,-99,wet,,800
5:00,-106,wet,,890
